                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2541,                 3.9452,                 1.2516,                0.09751,                0.27914,                0.05685,                0.03718,                 1.2036,                 13.556,                 1.1088,                 0.0003,                 0.0003,                 0.0003
                      2,                 1.1644,                 1.3811,                 1.1031,                0.65627,                0.59737,                0.59354,                0.41893,                 1.1157,                 2.0002,                 1.1091,             0.00061877,             0.00061877,             0.00061877
                      3,                 1.1351,                 1.3168,                 1.1178,                0.00045,                0.09816,                0.00025,                  9e-05,                 3.6302,                    inf,                 28.942,             0.00093628,             0.00093628,             0.00093628
                      4,                 1.2631,                 1.4404,                 1.2544,                0.00018,                0.02147,                  8e-05,                  2e-05,                    nan,                    nan,                    nan,              0.0012525,              0.0012525,              0.0012525
                      5,                 1.2958,                 1.4535,                 1.2016,                0.00018,                0.02147,                  8e-05,                  2e-05,                 0.8648,                    inf,                 33.044,              0.0015675,              0.0015675,              0.0015675
                      6,                 1.3252,                 1.3564,                 1.2358,                0.00423,                0.00307,                0.00023,                  7e-05,                 1.0194,                 75.024,                 1.1885,              0.0018812,              0.0018812,              0.0018812
                      7,                 1.4012,                  1.305,                 1.2513,                0.00023,                0.00307,                0.00011,                  2e-05,                 4.8431,                 164.83,                 10.119,              0.0019762,              0.0019762,              0.0019762
                      8,                 1.3527,                 1.2612,                 1.2918,                0.00062,                 0.0184,                0.00019,                  8e-05,                 4.0109,                 2290.9,                 4.6895,              0.0019762,              0.0019762,              0.0019762
                      9,                 1.2686,                 1.2105,                 1.1937,                0.05701,                0.03681,                 0.0175,                0.00541,                 2.9041,                   11.4,                 3.4359,              0.0019723,              0.0019723,              0.0019723
                     10,                 1.2822,                 1.2869,                 1.2135,                0.03323,                0.15644,                0.01036,                 0.0059,                   1.92,                 20.179,                 1.7626,              0.0019683,              0.0019683,              0.0019683
                     11,                 1.1973,                 1.1085,                 1.1648,                0.46107,                0.39877,                0.37278,                0.22158,                  1.476,                  5.553,                 1.4776,              0.0019644,              0.0019644,              0.0019644
                     12,                 1.2624,                 1.0824,                 1.2121,                0.62197,                0.48466,                0.51567,                0.32859,                 1.3238,                  2.711,                 1.2893,              0.0019604,              0.0019604,              0.0019604
                     13,                 1.2008,                 1.0445,                 1.1863,                0.71158,                 0.4768,                0.52423,                0.32442,                 1.4752,                  1.832,                 1.5215,              0.0019564,              0.0019564,              0.0019564
                     14,                 1.1191,                0.98712,                 1.1507,                0.64352,                0.33129,                0.37597,                0.25576,                 1.4297,                 2.6808,                 1.4413,              0.0019525,              0.0019525,              0.0019525
